id,average_flavor_rating,brand_name,link,number_of_flavors,number_of_reviews,overall_rating,price,price_per_serving,product_category,product_description,product_name,top_flavor_rated,verified_buyer_number,verified_buyer_rating,calories,average_flavor_rating_token,brand_name_token,product_category_token,product_description_token,top_flavor_rated_token,verified_buyer_number_token,verified_buyer_rating_token,combine_token
57,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/trans4orm.html?skuId=EVL4040242,2,1857,9,233,4,weight loss products,complete multistage thermogenic for fat loss with natural energy sources and focus,trans4orm,blueberry,845,9,Unavailable,9,"evlution,nutrition","weight,loss,products","complete,multistage,thermogenic,fat,loss,natural,energy,sources,focus",blueberry,845,9,"9 , evlution,nutrition , weight,loss,products , complete,multistage,thermogenic,fat,loss,natural,energy,sources,focus , blueberry , 845 , 9.0"
58,8,quest nutrition,https://sa.bodybuilding.com/store/quest/quest-bars.html?skuId=QUEST3410052,25,1211,9,233,19,whey protein isolate,clean gluten free bar with high quality protein and no added sugar,quest bars,maple waffle,648,9,200,8,"quest,nutrition","whey,protein,isolate","clean,gluten,free,bar,high,quality,protein,added,sugar","maple,waffle",648,9,"8 , quest,nutrition , whey,protein,isolate , clean,gluten,free,bar,high,quality,protein,added,sugar , maple,waffle , 648 , 9.0"
59,7,musclepharm,https://sa.bodybuilding.com/store/musclepharm/combat-crunch-bars.html?skuId=MPHARM2600002,Unavailable,1334,9,136,11,whey protein isolate,gluten free multilayered baked bar with 20g of protein,combat crunch bars,unflavored,Unavailable,Unavailable,210,7,musclepharm,"whey,protein,isolate","gluten,free,multilayered,baked,bar,20g,protein",unflavored,Unavailable,Unavailable,"7 , musclepharm , whey,protein,isolate , gluten,free,multilayered,baked,bar,20g,protein , unflavored , Unavailable , Unavailable"
60,Unavailable,kaged muscle,https://sa.bodybuilding.com/store/kaged-muscle/hydra-charge.html?skuId=KAG2960037,Unavailable,234,10,186,3,electrolytes,next level of hydration in sports nutrition,hydracharge,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"kaged,muscle",electrolytes,"next,level,hydration,sports,nutrition",unflavored,Unavailable,Unavailable,"Unavailable , kaged,muscle , electrolytes , next,level,hydration,sports,nutrition , unflavored , Unavailable , Unavailable"
61,8,optimum nutrition,https://sa.bodybuilding.com/store/opt/cas.html?skuId=OPT283,13,2601,9,420,8,micellar casein protein,nighttime use protein powder for building muscle,gold standard 100 casein,chocolate,925,8,Unavailable,8,"optimum,nutrition","micellar,casein,protein","nighttime,use,protein,powder,building,muscle",chocolate,925,8,"8 , optimum,nutrition , micellar,casein,protein , nighttime,use,protein,powder,building,muscle , chocolate , 925 , 8.0"
62,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/bcaa-5000.html?skuId=EVL3460023,10,1636,9,156,3,amino acids,bcaa powder with 5g bcaas zero sugar and zero calories to support recovery and endurance,bcaa 5000,grape,964,9,Unavailable,9,"evlution,nutrition","amino,acids","bcaa,powder,5g,bcaas,zero,sugar,zero,calories,support,recovery,endurance",grape,964,9,"9 , evlution,nutrition , amino,acids , bcaa,powder,5g,bcaas,zero,sugar,zero,calories,support,recovery,endurance , grape , 964 , 9.0"
63,Unavailable,optimum nutrition,https://sa.bodybuilding.com/store/opt/men.html?skuId=OPT2500476,Unavailable,1644,9,288,4,mens health products,active ingredients and essential daily nutrients in one convenient tablet,optimen,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"optimum,nutrition","mens,health,products","active,ingredients,essential,daily,nutrients,one,convenient,tablet",unflavored,Unavailable,Unavailable,"Unavailable , optimum,nutrition , mens,health,products , active,ingredients,essential,daily,nutrients,one,convenient,tablet , unflavored , Unavailable , Unavailable"
64,Unavailable,animal,https://sa.bodybuilding.com/store/univ/flex.html?skuId=UNIV164,Unavailable,464,9,218,5,glucosamine,the complete joint support vitamin stack,animal flex,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,animal,glucosamine,"complete,joint,support,vitamin,stack",unflavored,Unavailable,Unavailable,"Unavailable , animal , glucosamine , complete,joint,support,vitamin,stack , unflavored , Unavailable , Unavailable"
65,9,cellucor,https://sa.bodybuilding.com/store/cellucor/c4-ripped.html?skuId=CELLU3660233,9,299,9,311,10,betaalanine,explosive energy and cutting formula,c4 ripped,fruit,172,9,Unavailable,9,cellucor,betaalanine,"explosive,energy,cutting,formula",fruit,172,9,"9 , cellucor , betaalanine , explosive,energy,cutting,formula , fruit , 172 , 9.0"
66,7,animal,https://sa.bodybuilding.com/store/univ/cutsfree.html?skuId=UNIV109,Unavailable,853,8,272,6,caffeine,the complete vitamin stack for cutting fat,animal cuts,unflavored,155,8,Unavailable,7,animal,caffeine,"complete,vitamin,stack,cutting,fat",unflavored,155,8,"7 , animal , caffeine , complete,vitamin,stack,cutting,fat , unflavored , 155 , 8.0"
67,9,kaged muscle,https://sa.bodybuilding.com/store/kaged-muscle/re-kaged.html?skuId=KAG4610510,2,374,9,295,15,build muscle products,whey protein isolate powder to support muscle growth,rekaged,orange kream,247,9,Unavailable,9,"kaged,muscle","build,muscle,products","whey,protein,isolate,powder,support,muscle,growth","orange,kream",247,9,"9 , kaged,muscle , build,muscle,products , whey,protein,isolate,powder,support,muscle,growth , orange,kream , 247 , 9.0"
68,7,muscletech,https://sa.bodybuilding.com/store/muscletech/amino-build-next-gen.html?skuId=MT4060011,Unavailable,1328,10,136,5,bcaas,clinically dosed performance enhancing bcaa formula with betaine,amino build next gen,unflavored,Unavailable,Unavailable,Unavailable,7,muscletech,bcaas,"clinically,dosed,performance,enhancing,bcaa,formula,betaine",unflavored,Unavailable,Unavailable,"7 , muscletech , bcaas , clinically,dosed,performance,enhancing,bcaa,formula,betaine , unflavored , Unavailable , Unavailable"
69,9,cellucor,https://sa.bodybuilding.com/store/cellucor/c4.html?skuId=CELLU5100018,23,4290,9,389,6,betaalanine,an advanced preworkout formulated for anyone seeking increased energy and focus,c4 original,candy,1491,8,Unavailable,9,cellucor,betaalanine,"advanced,preworkout,formulated,anyone,seeking,increased,energy,focus",candy,1491,8,"9 , cellucor , betaalanine , advanced,preworkout,formulated,anyone,seeking,increased,energy,focus , candy , 1491 , 8.0"
70,Unavailable,optimum nutrition,https://sa.bodybuilding.com/store/opt/women.html?skuId=OPT127,Unavailable,339,10,127,2,multivitamins,daily multivitamin capsule for womens health,optiwomen,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"optimum,nutrition",multivitamins,"daily,multivitamin,capsule,womens,health",unflavored,Unavailable,Unavailable,"Unavailable , optimum,nutrition , multivitamins , daily,multivitamin,capsule,womens,health , unflavored , Unavailable , Unavailable"
71,10,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/glutamine5000.html?skuId=EVL4860171,1,98,10,124,2,glutamine,5000mg of lglutamine to support optimal levels during and post workout,glutamine5000,unflavored,72,9,Unavailable,10,"evlution,nutrition",glutamine,"5000mg,lglutamine,support,optimal,levels,post,workout",unflavored,72,9,"10 , evlution,nutrition , glutamine , 5000mg,lglutamine,support,optimal,levels,post,workout , unflavored , 72 , 9.0"
72,9,kaged muscle,https://sa.bodybuilding.com/store/kaged-muscle/c-hcl-creatine-hcl.html?skuId=KAG4340104,2,135,10,156,2,creatine hcl,750mg of patented creatine hydrochloride with uncompromised quality and purity,chcl,lemon,92,9,Unavailable,9,"kaged,muscle","creatine,hcl","750mg,patented,creatine,hydrochloride,uncompromised,quality,purity",lemon,92,9,"9 , kaged,muscle , creatine,hcl , 750mg,patented,creatine,hydrochloride,uncompromised,quality,purity , lemon , 92 , 9.0"
73,8,isopure,https://sa.bodybuilding.com/store/isopure/zero-carb.html?skuId=NB035,13,621,9,331,15,whey protein isolate,zero carb isopure,zerolow carb isopure,chocolate,245,8,210,8,isopure,"whey,protein,isolate","zero,carb,isopure",chocolate,245,8,"8 , isopure , whey,protein,isolate , zero,carb,isopure , chocolate , 245 , 8.0"
74,9,rsp nutrition,https://sa.bodybuilding.com/store/rsp-nutrition/aminolean.html?skuId=RSP4740003,9,2633,10,288,4,amino acids,essential amino acids formulated with caffeine from natural sources to support building lean muscle,aminolean energy formula,raspberry,1367,9,Unavailable,9,"rsp,nutrition","amino,acids","essential,amino,acids,formulated,caffeine,natural,sources,support,building,lean,muscle",raspberry,1367,9,"9 , rsp,nutrition , amino,acids , essential,amino,acids,formulated,caffeine,natural,sources,support,building,lean,muscle , raspberry , 1367 , 9.0"
75,8,bsn,https://sa.bodybuilding.com/store/bsn/xplode.html?skuId=BSN2480010,14,4405,8,233,8,improve workout products,the original preworkout igniter reengineered,noxplode,fruit,873,7,Unavailable,8,bsn,"improve,workout,products","original,preworkout,igniter,reengineered",fruit,873,7,"8 , bsn , improve,workout,products , original,preworkout,igniter,reengineered , fruit , 873 , 7.0"
76,7,bodybuildingcom signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-testosterone-booster.html?skuId=BBCOM5100083,Unavailable,15,9,156,4,general,natural testosterone support,signature testosterone booster,unflavored,13,9,Unavailable,7,"bodybuildingcom,signature",general,"natural,testosterone,support",unflavored,13,9,"7 , bodybuildingcom,signature , general , natural,testosterone,support , unflavored , 13 , 9.0"
77,6,dymatize,https://sa.bodybuilding.com/store/dymatize/iso-100.html?skuId=DYM1930120,Unavailable,2332,9,233,10,build muscle products,hydrolyzed 100 whey protein isolate,iso100,unflavored,Unavailable,Unavailable,Unavailable,6,dymatize,"build,muscle,products","hydrolyzed,100,whey,protein,isolate",unflavored,Unavailable,Unavailable,"6 , dymatize , build,muscle,products , hydrolyzed,100,whey,protein,isolate , unflavored , Unavailable , Unavailable"
78,7,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/l-arginine-1500.html?skuId=EVL5540097,Unavailable,27,10,93,2,general,contains 1500mg of larginine hcl to support muscle blood flow  protein synthesis,larginine 1500,unflavored,17,9,Unavailable,7,"evlution,nutrition",general,"contains,1500mg,larginine,hcl,support,muscle,blood,flow,protein,synthesis",unflavored,17,9,"7 , evlution,nutrition , general , contains,1500mg,larginine,hcl,support,muscle,blood,flow,protein,synthesis , unflavored , 17 , 9.0"
79,Unavailable,muscletech,https://sa.bodybuilding.com/store/muscletech/pro-series-alpha-test.html?skuId=MT4140033,Unavailable,395,9,108,2,fenugreek,maxstrength test booster engineered for enhanced performance,pro series alpha test,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,muscletech,fenugreek,"maxstrength,test,booster,engineered,enhanced,performance",unflavored,Unavailable,Unavailable,"Unavailable , muscletech , fenugreek , maxstrength,test,booster,engineered,enhanced,performance , unflavored , Unavailable , Unavailable"
80,Unavailable,animal,https://sa.bodybuilding.com/store/univ/stak2.html?skuId=UNIV1790068,Unavailable,462,9,276,13,tribulus,the complete anabolic support vitamin stack,animal stak,unflavored,129,8,Unavailable,Unavailable,animal,tribulus,"complete,anabolic,support,vitamin,stack",unflavored,129,8,"Unavailable , animal , tribulus , complete,anabolic,support,vitamin,stack , unflavored , 129 , 8.0"
81,10,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/glutamine5000.html?skuId=EVL5630021,1,98,10,70,2,glutamine,5000mg of lglutamine to support optimal levels during and post workout,glutamine5000,unflavored,72,9,Unavailable,10,"evlution,nutrition",glutamine,"5000mg,lglutamine,support,optimal,levels,post,workout",unflavored,72,9,"10 , evlution,nutrition , glutamine , 5000mg,lglutamine,support,optimal,levels,post,workout , unflavored , 72 , 9.0"
82,9,grenade,https://sa.bodybuilding.com/store/grenade/carb-killa.html?skuId=GREN4580009,13,130,9,258,21,protein,triplelayered deliciously crunchy lowcarb protein bar,carb killa,chocolate,88,9,Unavailable,9,grenade,protein,"triplelayered,deliciously,crunchy,lowcarb,protein,bar",chocolate,88,9,"9 , grenade , protein , triplelayered,deliciously,crunchy,lowcarb,protein,bar , chocolate , 88 , 9.0"
83,10,rsp nutrition,https://sa.bodybuilding.com/store/rsp-nutrition/pump-boost.html?skuId=RSP5370026,4,384,9,155,5,general,promotes elevated muscle pumps and training endurance,pump boost,mango + peach,233,9,Unavailable,10,"rsp,nutrition",general,"promotes,elevated,muscle,pumps,training,endurance","mango,peach",233,9,"10 , rsp,nutrition , general , promotes,elevated,muscle,pumps,training,endurance , mango,peach , 233 , 9.0"
84,Unavailable,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/vitamode.html?skuId=EVL4230011,Unavailable,719,10,226,4,multivitamins,high performance multivitamin for overall health,vitamode,unflavored,458,9,Unavailable,Unavailable,"evlution,nutrition",multivitamins,"high,performance,multivitamin,overall,health",unflavored,458,9,"Unavailable , evlution,nutrition , multivitamins , high,performance,multivitamin,overall,health , unflavored , 458 , 9.0"
85,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/leanbcaa.html?skuId=EVL3930002,3,253,9,156,5,bcaas,bcaa powder,leanbcaa,watermelon,141,9,Unavailable,9,"evlution,nutrition",bcaas,"bcaa,powder",watermelon,141,9,"9 , evlution,nutrition , bcaas , bcaa,powder , watermelon , 141 , 9.0"
86,9,evlution nutrition,https://sa.bodybuilding.com/store/evlution-nutrition/100-percent-isolate.html?skuId=EVL5580066,5,118,9,62,12,general,great tasting ultrapure whey protein isolate to support muscle growth and recovery,100 isolate,chocolate,74,9,Unavailable,9,"evlution,nutrition",general,"great,tasting,ultrapure,whey,protein,isolate,support,muscle,growth,recovery",chocolate,74,9,"9 , evlution,nutrition , general , great,tasting,ultrapure,whey,protein,isolate,support,muscle,growth,recovery , chocolate , 74 , 9.0"
87,Unavailable,bodybuildingcom signature,https://sa.bodybuilding.com/store/bodybuilding-com/signature-zma.html?skuId=BBCOM5100080,Unavailable,23,8,101,3,zma,supports muscle recovery,signature zma,unflavored,20,8,Unavailable,Unavailable,"bodybuildingcom,signature",zma,"supports,muscle,recovery",unflavored,20,8,"Unavailable , bodybuildingcom,signature , zma , supports,muscle,recovery , unflavored , 20 , 8.0"
88,Unavailable,optimum nutrition,https://sa.bodybuilding.com/store/opt/men.html?skuId=OPT2380276,Unavailable,1644,9,187,4,mens health products,active ingredients and essential daily nutrients in one convenient tablet,optimen,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"optimum,nutrition","mens,health,products","active,ingredients,essential,daily,nutrients,one,convenient,tablet",unflavored,Unavailable,Unavailable,"Unavailable , optimum,nutrition , mens,health,products , active,ingredients,essential,daily,nutrients,one,convenient,tablet , unflavored , Unavailable , Unavailable"
89,9,kaged muscle,https://sa.bodybuilding.com/store/kaged-muscle/micropure-whey-protein-isolate.html?skuId=KAG5300011,4,175,10,373,9,general,glutenfree no artificial colors naturally flavored and thirdparty tested,micropure whey protein isolate,chocolate,61,9,Unavailable,9,"kaged,muscle",general,"glutenfree,artificial,colors,naturally,flavored,thirdparty,tested",chocolate,61,9,"9 , kaged,muscle , general , glutenfree,artificial,colors,naturally,flavored,thirdparty,tested , chocolate , 61 , 9.0"
90,Unavailable,optimum nutrition,https://sa.bodybuilding.com/store/opt/women.html?skuId=OPT128,Unavailable,339,10,73,2,multivitamins,daily multivitamin capsule for womens health,optiwomen,unflavored,Unavailable,Unavailable,Unavailable,Unavailable,"optimum,nutrition",multivitamins,"daily,multivitamin,capsule,womens,health",unflavored,Unavailable,Unavailable,"Unavailable , optimum,nutrition , multivitamins , daily,multivitamin,capsule,womens,health , unflavored , Unavailable , Unavailable"
